日期,P1 队长/统筹+数据,P2 前端/产品,P3 后端/AI,风险/阻塞
8/20（红线:三人都就绪）,注册小程序账号拿AppID;建腾讯文档两张表;确认赛事报名,Github仓库clone;安装微信开发者工具;建项目跑通"你好世界",开通云开发环境;建policies/conversations集合;配好.env,账号实名认证是否通过
8月21日,填数据:政务办事/社保(3-5条);更新进度表,填数据:教育/医疗(3-5条);学小程序基础,填数据:住房/就业创业/港澳青年(3-5条);导入第一批政策,政策来源是否官方可查
8/22（红线:首批30条入库）,汇总校验首批30条;导出JSON给P3,继续填数据+搭chat静态页,确认数据入库;写向量化脚本,数据质量
8月23日,跟进进度;整理剩余政策,chat静态页(输入框+气泡+快捷问题),写ask云函数最简版(先不向量);调通GLM,API限流
8/24（红线:ask能回答）,整理剩余政策,chat页接入ask云函数,ask调通:第一条政策能回答,链路稳定性
8月25日,起草问答演示脚本,做category分类页,向量化脚本跑完;ask升级真RAG(向量检索),向量维度/相似度阈值
8/26（红线:4页面完成）,—,detail详情页+mine我的页;4页面全部完成,补齐getPolicies/saveHistory/getHistory,接口字段一致
8月27日,检查演示流程,美化+边界处理(网络失败/输入校验/加载态),多模型切换+限流重试容错,边界情况
8/28（红线:真机可问答）,全链路功能测试,真机预览测试(录屏备选),联调支持;修复问题,真机兼容
8/29（红线:视频录好）,录制演示视频(2-3分钟)+问答脚本,配合演示,保障链路稳定,演示不翻车
8/30（红线:材料齐）,作品说明+原创承诺书+打包zip,协助核对作品说明,协助核对+最终环境验证,材料完整性
8/31（红线:提交成功）,提交到TianQingA/2026@126.com并确认收到,—,—,截止时间
