序号,关联条目,文档标题,发文机关,文号,发布日期,出处链接,原文关键条款(逐字摘录),备注
1,户籍家庭公租房申请,广州市公共租赁住房保障办法,广州市人民政府办公厅,穗府办规〔2024〕13号,2024-07-29,https://www.gz.gov.cn/zwgk/fggw/sfbgtwj/content/post_9795789.html,"第二条 本办法所称的公共租赁住房保障，是指按照规定的条件通过发放住房租赁补贴、提供公共租赁住房的方式，以解决本市城镇户籍中等偏下收入住房困难家庭为主的住房保障制度。
第二十二条 申请公共租赁住房保障应当同时符合下列条件：（一）申请人及共同申请人应当具有本市城镇户籍，并在本市工作或居住（申请人配偶及未成年子女非本市城镇户籍但在本市工作或居住的、户籍因就学服兵役等原因迁出本市的除外）……（二）申请家庭申请之月前12个月家庭收入、家庭财产符合政府公布的标准……收入标准实行动态调整……（三）申请家庭在本市无自有产权住房，或现自有产权住房人均建筑面积低于15平方米（或人均居住面积低于10平方米）；租住的直管房住宅、单位公房人均建筑面积低于15平方米。（四）申请家庭未享受购买配售型保障性住房、共有产权住房、安居房、经济适用住房、拆迁安置新社区住房、落实侨房政策专用房等购房优惠政策。
第二十五条 申请、审核程序：（一）申请。申请人可登录指定网站线上申请，或到户籍所在地街道办事处（镇人民政府）线下申请，选择领取住房租赁补贴或轮候公共租赁住房……（二）初审……（三）复审……（四）公示。公示时间为20日。（五）异议复核……（六）公告。……
第二十七条 住房租赁补贴期限为5年。……市住房保障部门应每月将住房租赁补贴存入保障对象提供的社会保障卡账号。
第三十条 承租政府建设筹集的公共租赁住房的户籍家庭，按照家庭收入情况，实行差别化租金……经民政部门认定为低保家庭、最低生活保障边缘家庭、特困人员的孤寡老人免交租金。
第三十一条 公共租赁住房租赁合同期限为5年。租赁期满符合条件的保障对象可以申请续租。","主依据文件(现行有效穗府办规〔2024〕13号,2024-07-29印发,广州市政府门户);第二条保障定义/第二十二条申请条件/第二十五条申请审核程序(公示20日)/第二十七条补贴期限5年/第三十条孤寡老人免租金/第三十一条合同期限5年;旧版穗府办规〔2016〕9号已由本版取代;收入标准动态调整,以最新公告为准"
2,户籍家庭公租房申请,关于推出供应广州市2025年第一批户籍家庭公共租赁住房常态分配房源的通告,广州市住房保障办公室,（2025年第一批常态分配通告）,2025-03-19,https://zfcj.gz.gov.cn/zjyw/zfbz/content/mpost_10168701.html,"为进一步提高公共租赁住房分配和使用效率……我市2025年试行按季度实施户籍家庭公共租赁住房常态分配（以下简称""常态分配""）。
一、房源情况：本次推出分配的房源为2024年度户籍家庭公共租赁住房集中分配时未成功匹配的房源。房源点为萝岗和苑，总套数554套，均为两房一厅。
二、分配对象：本次常态分配的对象为2025年3月27日前已进入公共租赁住房轮候册、轮候号未被注销，且同时符合以下条件之一的家庭：（一）家庭保障人口为3人户及以上；（二）2人户中2人均年满18周岁（夫妻除外）；（三）2人户中为父女或母子结构。
三、分配原则：（一）家庭保障人口与户型对应……（二）按提交意向房源点先后顺序随机摇房……（三）限定周期及次数：常态分配按季度开展，若某季度实施户籍家庭公租房集中分配，则该季度不再进行常态分配……获得随机摇出房屋的申请对象，未在规定时间内选定1套进行配租确认，将视作弃租，再次参加常态分配需间隔满1年。
四、分配流程及时间安排（2025年第一批）：（一）公布房源2025年3月20日……（二）网上随机选房：2025年3月20日至3月24日内登录微信公众号""城壹宜居""中的""常态分配""专区上传材料，2025年3月25日上午10时至3月27日内选择并提交意向房源点；系统于2025年3月28日上午10时随机摇房；申请家庭需在摇出房屋后3个工作日内（3月31日-4月2日）选定1套房屋。（三）预配租情况公示：市住房保障办于2025年4月3日公示，公示期5个工作日。（四）资格复核：2025年4月11日起由各区住房保障部门进行资格复核。（五）签约和入住……
五、温馨提示：常态分配实行网上申请，申请对象可登录微信公众号""城壹宜居""中的""常态分配""专区自行申请，上网不便的申请家庭可在2025年3月20日-27日到保障房小区服务窗口办理。……可前往保障房小区服务窗口咨询并领取《户籍家庭公共租赁住房常态分配办理指引》及《广州市2025年户籍家庭公共租赁住房常态分配资料清单》，或致电400-893-9111、400-790-1999咨询。","时效性文件(2025年第一批,2025-03-19,广州市住建局/市住房保障办);2025起公租房常态分配按季度开展,无年度集中公告时以此为准;依据穗府办规〔2024〕13号+穗建规字〔2024〕2号+穗建规字〔2025〕4号;申请入口=微信公众号""城壹宜居"";咨询400-893-9111/400-790-1999;以最新批次通告为准"
3,广州城乡居民医保参保,广州市医疗保险服务中心关于开展2026年度广州市城乡居民基本医疗保险集中参保缴费工作的通告,广州市医疗保障局（广州市医疗保险服务中心）,穗府办规〔2021〕14号为依据,2025-10-17,https://www.gz.gov.cn/zt/zzyyzq/tzgg/content/post_10493724.html,（一）在校学生：个人缴费标准为每人413元，财政补助标准为每人956元。（二）其他参保人员：个人缴费标准为每人549元，财政补助标准为每人820元。……2026年度城乡居民医保集中参保和缴费时间在校学生为2025年9月下旬至2025年12月20日（集中参保期），其他参保人员为2025年10月下旬至2025年12月20日（集中参保期）。,主依据文件;2026年度通告
4,来穗人员居住证办理,电子居住证如何申领？一文说清,粤省事微信公众号（天河区政府网转载）,（依据《居住证暂行条例》《广东省流动人口服务管理条例》）,2024-07-19,http://www.thnet.gov.cn/zwfw/zdfw/jzzbl/xgzc/content/post_9767314.html,来穗人员在广州居住登记满半年，符合合法稳定住所、合法稳定就业、连续就读等三个条件之一的，提供居民身份证、相片和居住地址证明材料，可以申领电子居住证。……符合申领条件的来穗人员可以通过线上、线下两种渠道申领电子居住证。申领电子居住证的审核期限为5个工作日。,电子居住证与实体证法律效力一致;另有市公安局/来穗局申领规定见gz.gov.cn
5,天河区公办小学入学（人户一致）,2026年天河区义务教育阶段学校招生工作细则,广州市天河区教育局,穗天教〔2026〕2号,2026-04-28,https://www.thnet.gov.cn/gzjg/qzf/qjyj/zsks/content/post_10791180.html,"具有本市户籍的适龄儿童父母或其他法定监护人，须于2026年5月7日至11日登录""广州市义务教育学校招生报名系统""公办小学报名模块填写报名信息。网上报名登记有效后，于2026年5月16日至18日，根据网上预约时段到报名学校进行资料审核。经公办小学审核并报区教育局确认后，适龄儿童取得录取资格，学校于6月17日派发录取通知书。",主依据文件;条款摘自天河区政府网官方发布稿;细则正文为PDF扫描件已存档policy_sources
6,来穗人员随迁子女积分入学,2026年天河区来穗人员随迁子女积分制入学工作指引,广州市天河区教育局,（依据穗天教规字〔2024〕1号）,2026-06-25,https://www.thnet.gov.cn/gzjg/qzf/qjyj/zsks/content/post_10872346.html,"2026年天河区来穗人员随迁子女积分制入学学位计划总数为1023个（小学563个、初中460个）。……小学一年级提供积分入学学位计划563个，其中公办小学315个、民办小学248个；初中一年级提供积分入学学位计划460个，其中公办中学300个、民办中学160个。……6月27日10:00至7月1日15:00，来穗人员登录""广州市天河区来穗人员随迁子女积分制入学申请系统""（http://39.107.105.7/tianhejf/）填报志愿，每名申请人可填报1至19个志愿。……按照""积分优先、遵循志愿""的原则进行录取。",主依据文件(年度指引);依据《实施办法》穗天教规字〔2024〕1号;民办学位补贴小学5000元/年初中6000元/年;咨询38622512/38622522
7,公办/普惠幼儿园入园,2026年天河区幼儿园招生工作方案,广州市天河区教育局,（年度方案）,2026-04-20,https://www.thnet.gov.cn/gzjg/qzf/qjyj/zsks/content/post_10777181.html,"小班入园年龄为3周岁。教育部门办园2026年秋季招生对象为2022年9月1日至2023年8月31日期间出生的适龄幼儿。……教育部门办园面向社会招生的，90%学位面向社会电脑派位。……网上报名时间为5月19日至5月22日，家长登录""广州市天河区教育部门办园报名系统""（http://zs.dominner.com）……2026年6月5日发放录取通知书。",主依据文件;联系科室38622527
8,港澳居民子女在广州就读,2026年天河区港澳居民随迁子女入学指引,广州市天河区教育局,（年度指引）,2026-06-02,https://www.thnet.gov.cn/gzjg/qzf/qjyj/zsks/content/post_10833283.html,"2026年，天河区港澳居民随迁子女（持证适龄儿童少年）积分制入学计划总数为135个（小学45个、初中90个）。……6月2日10:00至6月5日15:00，适龄儿童少年登录""天河区港澳居民随迁子女积分制入学申请系统""（http://39.107.105.7/tianhejf-gangao/）填报志愿，可填报1—2个志愿。……按""积分优先、遵循志愿""原则录取。",亮点:南国学校等设港澳子弟班;咨询020-38622512/020-38622522
9,异地就医备案与直接结算,"无需个人垫付！广州异地就医备案，上""穗好办""快速办理！",广州市人民政府门户（市医保局供稿）,（政务指引）,2023-12-14,https://www.gz.gov.cn/zt/shb/content/post_9383871.html,"广州市现已开通省内及跨省异地就医住院、普通门诊、门诊特定病种以及省内跨市生育费用直接结算，已办理相应异地就医备案的广州市参保人，可在就医结束后直接结算相关医疗费用，无需个人垫付医疗费用后办理报销手续。……打开""穗好办""APP，在""首页—热门服务""选择""异地就医备案""专栏……后台工作人员将在2个工作日内完成审批。……已办理异地就医备案且经审批通过后，参保人可持本人医保电子凭证或社保卡在备案地的异地就医联网结算医疗机构就医并直接结算医疗费用。",主依据文件(政务指引);另有粤医保小程序渠道;异地普通门诊无须提前选点;备案地与广州双向享受待遇
10,家庭医生签约服务,广州市卫生健康委等4部门关于印发推进广州市家庭医生签约服务高质量发展实施方案的通知,广州市卫生健康委员会、市财政局、市人社局、市医保局,穗卫函〔2023〕1930号,2023-11-07,https://wjw.gz.gov.cn/gkmlpt/content/9/9306/post_9306638.html,家庭医生签约服务包分为免费服务包、基本服务包及个性化服务包，实行分类签约、有偿签约、差别化签约。……优先保障老年人、孕产妇、儿童、残疾人、计划生育特殊家庭成员以及高血压、糖尿病、结核病和严重精神障碍患者等重点人群签约服务需求……落实低保、孤儿以及计生特别扶助家庭等6类困难群体免费签约基本包政策。……针对已签约家庭医生，并患有高血压、糖尿病等慢性病参保人，经家庭医生评估可将处方用药量最长放宽至3个月。……家庭医生应每季度至少主动联系1次签约居民。,主依据文件;天河区卫健委落实推进(2025-03-28会议);服务专线020-12320
